agent,avg,date,feature,floor,guapai,info,price,title
刘付瑞,43215,2019.06.23,房屋满五年,高楼层(共6层) 2000年建板楼,挂牌575万成交周期196天,南 北 | 精装,562万,水仙园 3室1厅 130.05平米
薛攀峰,46616,2019.06.23,近地铁,底层(共5层) 1982年建板楼,挂牌280万成交周期229天,南 北 | 简装,250万,科印小区 2室1厅 53.63平米
张戈,43261,2019.06.23,房屋满五年,低楼层(共6层) 1997年建板楼,挂牌339万成交周期64天,南 北 | 精装,320万,玉桥南里 2室2厅 73.97平米
骆占峰,36317,2019.06.22,房屋满五年,底层(共27层) 2010年建板塔结合,挂牌320万成交周期16天,东南 | 简装,295万,通景园 2室2厅 81.23平米
李云鹏,41316,2019.06.22,房屋满五年近地铁,顶层(共7层) 2002年建板楼,挂牌340万成交周期172天,南 北 | 简装,328万,达富苑 2室1厅 79.39平米
郭海军,19439,2019.06.22,房屋满两年,中楼层(共7层) 2013年建板楼,挂牌124万成交周期275天,东 | 毛坯,115万,金隅自由筑 1房间0卫 59.16平米
樊林,40575,2019.06.21,房屋满五年,中楼层(共6层) 2002年建板楼,挂牌280万成交周期22天,南 北 | 简装,273万,皓月苑 2室1厅 67.16平米
韩超,47466,2019.06.21,房屋满两年,中楼层(共5层) 1977年建板楼,挂牌249万成交周期163天,东 | 简装,243万,新城东里 2室1厅 51.09平米
,43046,2019.06.21,挂牌548万成交周期9天,中楼层(共6层) 2015年建板楼,,南 北 | 精装,502万,首开香溪郡 3室2厅 116.62平米
倪俊,33645,2019.06.21,房屋满五年,高楼层(共22层) 2008年建板塔结合,挂牌300万成交周期4天,东 西 | 精装,288万,大方居 2室1厅 85.6平米
王展,51756,2019.06.21,房屋满两年,高楼层(共25层) 2012年建板楼,挂牌529万成交周期83天,南 北 | 精装,510万,华业东方玫瑰D区 3室1厅 98.54平米
,44851,2019.06.19,挂牌260万成交周期231天,中楼层(共6层) 1991年建板楼,,南 北 | 简装,253万,粮所家属楼 2室1厅 56.41平米
陶元,37668,2019.06.19,房屋满五年,顶层(共5层) 2005年建板楼,挂牌288万成交周期110天,南 北 | 精装,279万,翠福园 2室1厅 74.07平米
高远,39250,2019.06.19,房屋满五年,中楼层(共12层) 2003年建板塔结合,挂牌410万成交周期24天,南 北 | 其他,385万,馨通家园 2室1厅 98.09平米
刘丽娟,37702,2019.06.19,房屋满五年,低楼层(共22层) 2012年建板塔结合,挂牌349万成交周期112天,南 北 | 简装,338万,中建雅颂居 3室1厅 89.52平米
刘伟强,38102,2019.06.19,房屋满五年,中楼层(共6层) 2001年建板楼,挂牌302万成交周期22天,南 北 | 简装,293万,西马庄园 2室1厅 76.9平米
,27471,2019.06.19,挂牌239万成交周期236天,中楼层(共11层) 2017年建板楼,,南 北 | 毛坯,229万,首开缇香郡二期 2室1厅 83.18平米
张政睿,53771,2019.06.19,房屋满五年,中楼层(共24层) 2010年建板塔结合,挂牌500万成交周期92天,南 | 精装,482万,海棠湾一期 2室2厅 89.64平米
崔忠亚,32671,2019.06.18,房屋满五年,中楼层(共22层) 2008年建板塔结合,挂牌310万成交周期343天,西 | 精装,294万,大方居 2室1厅 89.99平米
王斌,52509,2019.06.18,房屋满五年,中楼层(共6层) 1981年建板楼,挂牌285万成交周期165天,南 | 精装,270万,后南仓 1室1厅 51.42平米
薛建峰,40811,2019.06.18,房屋满五年,中楼层(共6层) 1994年建板楼,挂牌280万成交周期360天,南 北 | 其他,270万,永顺西里 2室1厅 66.16平米
,50147,2019.06.18,挂牌266万成交周期63天,底层(共6层) 1995年建板楼,,南 北 | 简装,256万,玉桥南里 1室1厅 51.05平米
杨海军,42746,2019.06.18,房屋满五年,中楼层(共12层) 2003年建板塔结合,挂牌400万成交周期5天,东南 | 其他,393万,馨通家园 2室1厅 91.94平米
乔辉,34530,2019.06.18,房屋满五年,中楼层(共22层) 2008年建板塔结合,挂牌310万成交周期49天,东北 | 精装,308万,大方居 3室1厅 89.2平米
闫其文,42716,2019.06.17,房屋满五年,底层(共7层) 2002年建板楼,挂牌385万成交周期101天,南 北 | 精装,370万,富河园 2室1厅 86.62平米
刘莹莹,46438,2019.07.03,房屋满五年,顶层(共11层) 2010年建板楼,挂牌425万成交周期38天,南 北 | 简装,410万,京洲世家 2室1厅 88.29平米
薛彦锋,40337,2019.07.03,房屋满五年近地铁,高楼层(共6层) 2001年建板楼,挂牌363万成交周期12天,南 北 | 简装,345万,怡乐北街 2室2厅 85.53平米
崔国栋,58829,2019.07.03,房屋满两年近地铁,低楼层(共12层) 2012年建塔楼,挂牌355万成交周期199天,西 | 精装,349万,M5朗峰 2室1厅 59.24平米
李源源,42614,2019.07.01,房屋满五年,中楼层(共18层) 2006年建板塔结合,挂牌405万成交周期8天,南 | 精装,405万,博客园 2室1厅 95.04平米
王绘然,29322,2019.06.15,房屋满五年,顶层(共6层) 2001年建板楼,挂牌290万成交周期62天,南 北 | 简装,268万,通惠北路12号院 2室2厅 91.4平米
